"tranche_id","productType","energySources","contractDate","deliveryDate","reportingStart","reportingEnd","sellerName","sellerAddress","country","region","volume_MWh","step2_order_complete","step3_match_complete","step4_contract_complete","step5_attestation_complete","step6_IPLDrecord_complete","step7_transaction_complete","step8_volta_complete","step9_finalRecord_complete"
"20211115_3D_PL_transaction_1_line_83","GO","wind, solar","2021-11-15","2022-04-15","2021-03-01","2021-03-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","BE","",20,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_84","GO","wind, solar","2021-11-15","2022-04-15","2021-04-01","2021-04-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","BE","",1,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_85","GO","wind, solar","2021-11-15","2022-04-15","2021-05-01","2021-05-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","BE","",24,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_86","GO","wind, solar","2021-11-15","2022-04-15","2021-06-01","2021-06-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","BE","",46,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_87","GO","wind, solar","2021-11-15","2022-04-15","2020-07-01","2021-03-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","DK","",4,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_88","GREEN-E","biogas","2021-11-15","2022-04-15","2020-09-01","2020-09-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","US","RFC",1,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_89","GREEN-E","wind, solar","2021-11-15","2022-04-15","2020-10-01","2020-10-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","US","RFC",1,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_90","GREEN-E","wind, solar","2021-11-15","2022-04-15","2020-11-01","2020-11-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","US","RFC",1,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_91","GREEN-E","wind, solar","2021-11-15","2022-04-15","2020-12-01","2020-12-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","US","RFC",1,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_92","GREEN-E","wind, solar","2021-11-15","2022-04-15","2021-01-01","2021-01-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","US","RFC",2,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_93","GREEN-E","wind, solar","2021-11-15","2022-04-15","2021-02-01","2021-02-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","US","RFC",1,1,1,0,0,0,0,0,0
